Magnitude,Redshift,MagnitudeLetter
24.84195,19.21349,u
23.11204,19.21349,g
21.55268,19.21349,r
20.66354,19.21349,i
20.05735,19.21349,z
23.39831,22.00542,u
25.32031,22.00542,g
23.6124,22.00542,r
22.45126,22.00542,i
21.91643,22.00542,z
24.16319,20.2234,u
24.55169,20.2234,g
22.73546,20.2234,r
22.04773,20.2234,i
21.36465,20.2234,z
23.30447,21.29978,u
24.20028,21.29978,g
22.63915,21.29978,r
22.86573,21.29978,i
21.22786,21.29978,z
25.0528,21.07168,u
23.34345,21.07168,g
21.43386,21.07168,r
20.78911,21.07168,i
21.09595,21.07168,z
19.43264,14.46059,u
16.88128,14.46059,g
15.5263,14.46059,r
14.86181,14.46059,i
14.44625,14.46059,z
23.45177,22.1827,u
23.40796,22.1827,g
23.0067,22.1827,r
22.79534,22.1827,i
22.00779,22.1827,z
22.08029,23.68718,u
25.11717,23.68718,g
24.73963,23.68718,r
24.65263,23.68718,i
22.69693,23.68718,z
24.03312,23.0282,u
24.62965,23.0282,g
22.96059,23.0282,r
22.92556,23.0282,i
23.03864,23.0282,z
23.75158,19.66287,u
22.02585,19.66287,g
20.89942,19.66287,r
20.29254,19.66287,i
19.95895,19.66287,z
22.40516,22.33794,u
25.41977,22.33794,g
24.58739,22.33794,r
23.97963,22.33794,i
22.19001,22.33794,z
24.01338,22.03953,u
23.55722,22.03953,g
22.73965,22.03953,r
23.18291,22.03953,i
22.10276,22.03953,z
26.09774,23.18552,u
24.7893,23.18552,g
23.51881,23.18552,r
22.55539,23.18552,i
23.18568,23.18552,z
25.92373,22.28902,u
23.57716,22.28902,g
23.59804,22.28902,r
22.74308,22.28902,i
22.18754,22.28902,z
20.77815,18.66805,u
19.4398,18.66805,g
18.87869,18.66805,r
18.71637,18.66805,i
18.68406,18.66805,z
20.97584,20.6404,u
20.79861,20.6404,g
20.38475,20.6404,r
20.33957,20.6404,i
20.61925,20.6404,z
18.60989,14.08853,u
16.19497,14.08853,g
15.00756,14.08853,r
